TLIST(Q1),Quarter,Type of Offence,VALUE
20243,2024Q3,Arson (1211),515
20243,2024Q3,Criminal damage (not arson) (1212),5138
20243,2024Q3,Litter offences (1221),19
20243,2024Q3,Public order and other social code offences (13),8294
20243,2024Q3,Disorderly conduct (131),7222
20243,2024Q3,Trespass offences (132),671
20243,2024Q3,Liquor licensing offences (133),36
20243,2024Q3,Prostitution offences (134),7
20243,2024Q3,"Regulated betting/money, collection/trading offences (135)",45
20243,2024Q3,Social code offences (n.e.c.) (136),313
20243,2024Q3,Road and traffic offences (14),11499
20243,2024Q3,"Driving licence-failure to have, produce, etc. (1411)",845
20243,2024Q3,"Insurance-failure to have, produce, display, etc. (1412)",2344
20243,2024Q3,Vehicle tax/registration offences (142),1810
20243,2024Q3,Roadworthiness/regulatory offences (143),153
20243,2024Q3,Obstruction under Road Traffic Acts (1432),19
20243,2024Q3,Other road offences (1433),6102
20243,2024Q3,Road transport - carriage of goods offences (1441),30
20243,2024Q3,Public service vehicle offences (1442),195
20243,2024Q3,Light rail offences (Luas) (1443),1
20243,2024Q3,"Offences against government, justice procedures and organisation of crime (15)",3722
20243,2024Q3,Offences against government and its agents (151),51
20243,2024Q3,Organisation of crime and conspiracy to commit crime (152),12
20243,2024Q3,Perverting the course of justice (153),7
20243,2024Q3,"Offences while in custody, breach of court orders (157)",3652
20243,2024Q3,Offences not elsewhere classified (16),539
20244,2024Q4,Homicide & related offences (01),22
20244,2024Q4,Murder (0111),14
20244,2024Q4,Manslaughter (0112),0
20244,2024Q4,Infanticide (0113),0
20244,2024Q4,Dangerous driving leading to death (012),8
20244,2024Q4,Sexual offences (02),950
20244,2024Q4,Rape of a male or female (0211),228
20244,2024Q4,Defilement of a boy or girl less than 17 years old (0212),8
20244,2024Q4,Sexual offence involving mentally impaired person (0213),
20244,2024Q4,Aggravated sexual assault (0214),3
20244,2024Q4,Sexual assault (not aggravated) (0215),595
20244,2024Q4,Other sexual offences (022),116
20244,2024Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",6226
20244,2024Q4,Murder-attempt (0311),3
20244,2024Q4,Threat to kill or cause serious harm  (0313 ),540
20244,2024Q4,Harassment and related offences (033),542
20244,2024Q4,"Assault causing harm, poisoning (034)",1475
20244,2024Q4,Other assault (035),3666
20244,2024Q4,Dangerous or negligent acts (04),7683
20244,2024Q4,Dangerous driving causing serious bodily harm (0411),11
20244,2024Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1745
20244,2024Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),1458
20244,2024Q4,Driving/in charge of a vehicle under the influence of drugs (0413),287
20244,2024Q4,Dangerous/careless driving and motorway offences (0414),1390
20244,2024Q4,Speeding (0415),4333
20244,2024Q4,Endangerment with potential for serious harm/death (0421),71
20244,2024Q4,"Abandoning a child, child neglect and cruelty (0422)",51
20244,2024Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20244,2024Q4,False alarm/interference with aircraft or air transport facilities (0424),2
20244,2024Q4,Endangering traffic offences (0425),80
20244,2024Q4,Kidnapping and related offences (05),42
20244,2024Q4,False imprisonment (0511),27
20244,2024Q4,Abduction of person under 16 years of age (0512),10
20244,2024Q4,Human trafficking offences (0513),5
20244,2024Q4,"Robbery, extortion and hijacking offences (06)",588
20244,2024Q4,Robbery of an establishment or institution (0611),106
20244,2024Q4,Robbery of cash or goods in transit (0612),2
20244,2024Q4,Robbery from the person (0613),263
20244,2024Q4,Blackmail or extortion (0621),171
20244,2024Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",46
20244,2024Q4,Burglary and related offences (07),2417
20244,2024Q4,Aggravated burglary (0711),58
20244,2024Q4,Burglary (not aggravated) (0712),2297
20244,2024Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",62
20244,2024Q4,Theft and related offences (08),17764
20244,2024Q4,Theft/taking of vehicle and related offences (081),1945
20244,2024Q4,Theft from person (0821),870
20244,2024Q4,Theft from shop (0822),7632
20244,2024Q4,"Other thefts, handling stolen property (084)",7317
20244,2024Q4,"Fraud, deception and related offences (09)",
20244,2024Q4,Controlled drug offences (10),3458
20244,2024Q4,Importation of drugs (1011),18
20244,2024Q4,Cultivation or manufacture of drugs (1012),14
20244,2024Q4,Possession of drugs for sale or supply (1021),1012
20244,2024Q4,Possession of drugs for personal use (1022),2250
20244,2024Q4,Other drug offences (103),164
20244,2024Q4,Weapons and explosives offences (11),737
20244,2024Q4,"Explosives, chemical weapons offences (111)",29
20244,2024Q4,Discharging a firearm (1121),22
20244,2024Q4,Possession of a firearm (1122),31
20244,2024Q4,Offensive weapons offences (n.e.c.) (113),523
20244,2024Q4,Fireworks offences (114),132
20244,2024Q4,Damage to property and to the environment  offences (12),5434
20244,2024Q4,Arson (1211),479
20244,2024Q4,Criminal damage (not arson) (1212),4924
20244,2024Q4,Litter offences (1221),31
20244,2024Q4,Public order and other social code offences (13),7446
20244,2024Q4,Disorderly conduct (131),6448
20244,2024Q4,Trespass offences (132),667
20244,2024Q4,Liquor licensing offences (133),58
20244,2024Q4,Prostitution offences (134),3
20244,2024Q4,"Regulated betting/money, collection/trading offences (135)",15
20244,2024Q4,Social code offences (n.e.c.) (136),255
20244,2024Q4,Road and traffic offences (14),10988
20244,2024Q4,"Driving licence-failure to have, produce, etc. (1411)",790
20244,2024Q4,"Insurance-failure to have, produce, display, etc. (1412)",2222
20244,2024Q4,Vehicle tax/registration offences (142),1674
20244,2024Q4,Roadworthiness/regulatory offences (143),166
20244,2024Q4,Obstruction under Road Traffic Acts (1432),19
20244,2024Q4,Other road offences (1433),5837
20244,2024Q4,Road transport - carriage of goods offences (1441),45
20244,2024Q4,Public service vehicle offences (1442),231
20244,2024Q4,Light rail offences (Luas) (1443),4
20244,2024Q4,"Offences against government, justice procedures and organisation of crime (15)",3710
20244,2024Q4,Offences against government and its agents (151),27
20244,2024Q4,Organisation of crime and conspiracy to commit crime (152),7
20244,2024Q4,Perverting the course of justice (153),10
20244,2024Q4,"Offences while in custody, breach of court orders (157)",3666
20244,2024Q4,Offences not elsewhere classified (16),509
20251,2025Q1,Homicide & related offences (01),18
20251,2025Q1,Murder (0111),10
20251,2025Q1,Manslaughter (0112),3
20251,2025Q1,Infanticide (0113),0
20251,2025Q1,Dangerous driving leading to death (012),5
20251,2025Q1,Sexual offences (02),892
20251,2025Q1,Rape of a male or female (0211),268
20251,2025Q1,Defilement of a boy or girl less than 17 years old (0212),12
20251,2025Q1,Sexual offence involving mentally impaired person (0213),
20251,2025Q1,Aggravated sexual assault (0214),1
20251,2025Q1,Sexual assault (not aggravated) (0215),492
20251,2025Q1,Other sexual offences (022),119
20251,2025Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",5757
20251,2025Q1,Murder-attempt (0311),11
20251,2025Q1,Threat to kill or cause serious harm  (0313 ),494
20251,2025Q1,Harassment and related offences (033),556
20251,2025Q1,"Assault causing harm, poisoning (034)",1403
20251,2025Q1,Other assault (035),3293
20251,2025Q1,Dangerous or negligent acts (04),7182
20251,2025Q1,Dangerous driving causing serious bodily harm (0411),11
20251,2025Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1602
20251,2025Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),1602
20251,2025Q1,Driving/in charge of a vehicle under the influence of drugs (0413),0
20251,2025Q1,Dangerous/careless driving and motorway offences (0414),1473
20251,2025Q1,Speeding (0415),3890
20251,2025Q1,Endangerment with potential for serious harm/death (0421),79
20251,2025Q1,"Abandoning a child, child neglect and cruelty (0422)",67
20251,2025Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20251,2025Q1,False alarm/interference with aircraft or air transport facilities (0424),2
20251,2025Q1,Endangering traffic offences (0425),58
20251,2025Q1,Kidnapping and related offences (05),24
20251,2025Q1,False imprisonment (0511),20
20251,2025Q1,Abduction of person under 16 years of age (0512),2
20251,2025Q1,Human trafficking offences (0513),2
20251,2025Q1,"Robbery, extortion and hijacking offences (06)",517
20251,2025Q1,Robbery of an establishment or institution (0611),98
20251,2025Q1,Robbery of cash or goods in transit (0612),3
20251,2025Q1,Robbery from the person (0613),208
20251,2025Q1,Blackmail or extortion (0621),177
20251,2025Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",31
20251,2025Q1,Burglary and related offences (07),2207
20251,2025Q1,Aggravated burglary (0711),61
20251,2025Q1,Burglary (not aggravated) (0712),2090
20251,2025Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",56
20251,2025Q1,Theft and related offences (08),16630
20251,2025Q1,Theft/taking of vehicle and related offences (081),1709
20251,2025Q1,Theft from person (0821),765
20251,2025Q1,Theft from shop (0822),7699
20251,2025Q1,"Other thefts, handling stolen property (084)",6457
20251,2025Q1,"Fraud, deception and related offences (09)",
20251,2025Q1,Controlled drug offences (10),3973
20251,2025Q1,Importation of drugs (1011),23
20251,2025Q1,Cultivation or manufacture of drugs (1012),15
20251,2025Q1,Possession of drugs for sale or supply (1021),1289
20251,2025Q1,Possession of drugs for personal use (1022),2466
20251,2025Q1,Other drug offences (103),180
20251,2025Q1,Weapons and explosives offences (11),712
20251,2025Q1,"Explosives, chemical weapons offences (111)",23
20251,2025Q1,Discharging a firearm (1121),24
20251,2025Q1,Possession of a firearm (1122),44
20251,2025Q1,Offensive weapons offences (n.e.c.) (113),609
20251,2025Q1,Fireworks offences (114),12
20251,2025Q1,Damage to property and to the environment  offences (12),4776
20251,2025Q1,Arson (1211),420
20251,2025Q1,Criminal damage (not arson) (1212),4341
20251,2025Q1,Litter offences (1221),15
20251,2025Q1,Public order and other social code offences (13),7083
20251,2025Q1,Disorderly conduct (131),6224
20251,2025Q1,Trespass offences (132),621
20251,2025Q1,Liquor licensing offences (133),48
20251,2025Q1,Prostitution offences (134),5
20251,2025Q1,"Regulated betting/money, collection/trading offences (135)",8
20251,2025Q1,Social code offences (n.e.c.) (136),177
20251,2025Q1,Road and traffic offences (14),12096
20251,2025Q1,"Driving licence-failure to have, produce, etc. (1411)",898
20251,2025Q1,"Insurance-failure to have, produce, display, etc. (1412)",2368
20251,2025Q1,Vehicle tax/registration offences (142),1997
20251,2025Q1,Roadworthiness/regulatory offences (143),154
20251,2025Q1,Obstruction under Road Traffic Acts (1432),11
20251,2025Q1,Other road offences (1433),6438
20251,2025Q1,Road transport - carriage of goods offences (1441),39
20251,2025Q1,Public service vehicle offences (1442),187
20251,2025Q1,Light rail offences (Luas) (1443),4
20251,2025Q1,"Offences against government, justice procedures and organisation of crime (15)",3878
20251,2025Q1,Offences against government and its agents (151),38
20251,2025Q1,Organisation of crime and conspiracy to commit crime (152),10
20251,2025Q1,Perverting the course of justice (153),7
20251,2025Q1,"Offences while in custody, breach of court orders (157)",3823
20251,2025Q1,Offences not elsewhere classified (16),535
20252,2025Q2,Homicide & related offences (01),10
20252,2025Q2,Murder (0111),6
20252,2025Q2,Manslaughter (0112),0
20252,2025Q2,Infanticide (0113),0
20252,2025Q2,Dangerous driving leading to death (012),4
20252,2025Q2,Sexual offences (02),910
20252,2025Q2,Rape of a male or female (0211),254
20252,2025Q2,Defilement of a boy or girl less than 17 years old (0212),12
20252,2025Q2,Sexual offence involving mentally impaired person (0213),
20252,2025Q2,Aggravated sexual assault (0214),0
20252,2025Q2,Sexual assault (not aggravated) (0215),524
20252,2025Q2,Other sexual offences (022),120
20252,2025Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",6477
20252,2025Q2,Murder-attempt (0311),1
20252,2025Q2,Threat to kill or cause serious harm  (0313 ),542
20252,2025Q2,Harassment and related offences (033),535
20252,2025Q2,"Assault causing harm, poisoning (034)",1511
20252,2025Q2,Other assault (035),3888
20252,2025Q2,Dangerous or negligent acts (04),8546
20252,2025Q2,Dangerous driving causing serious bodily harm (0411),5
20252,2025Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",1675
20252,2025Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),1675
20252,2025Q2,Driving/in charge of a vehicle under the influence of drugs (0413),0
20252,2025Q2,Dangerous/careless driving and motorway offences (0414),1791
20252,2025Q2,Speeding (0415),4908
20252,2025Q2,Endangerment with potential for serious harm/death (0421),51
20252,2025Q2,"Abandoning a child, child neglect and cruelty (0422)",37
20252,2025Q2,Unseaworthy/dangerous use of boat or ship (0423),1
20252,2025Q2,False alarm/interference with aircraft or air transport facilities (0424),0
20252,2025Q2,Endangering traffic offences (0425),78
20252,2025Q2,Kidnapping and related offences (05),39
20252,2025Q2,False imprisonment (0511),20
20252,2025Q2,Abduction of person under 16 years of age (0512),13
20252,2025Q2,Human trafficking offences (0513),6
20252,2025Q2,"Robbery, extortion and hijacking offences (06)",493
20252,2025Q2,Robbery of an establishment or institution (0611),74
20252,2025Q2,Robbery of cash or goods in transit (0612),2
20252,2025Q2,Robbery from the person (0613),223
20252,2025Q2,Blackmail or extortion (0621),151
20252,2025Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",43
20252,2025Q2,Burglary and related offences (07),2100
20252,2025Q2,Aggravated burglary (0711),65
20252,2025Q2,Burglary (not aggravated) (0712),1973
20252,2025Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",62
20252,2025Q2,Theft and related offences (08),19522
20252,2025Q2,Theft/taking of vehicle and related offences (081),1754
20252,2025Q2,Theft from person (0821),816
20252,2025Q2,Theft from shop (0822),9257
20252,2025Q2,"Other thefts, handling stolen property (084)",7695
20252,2025Q2,"Fraud, deception and related offences (09)",
20252,2025Q2,Controlled drug offences (10),3928
20252,2025Q2,Importation of drugs (1011),14
20252,2025Q2,Cultivation or manufacture of drugs (1012),20
